Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,51.099998,51.599998,50.740002,50.759998,48.335815,20467600
2019-05-02,50.799999,51.330002,50.119999,50.549999,48.135849,22655400
2019-05-03,51.080002,51.820000,50.730000,51.750000,49.278542,25656600
2019-05-06,50.250000,51.279999,50.189999,51.220001,49.072556,26245200
2019-05-07,50.599998,50.880001,49.930000,50.480000,48.363579,29713400
2019-05-08,50.200001,50.790001,49.070000,49.240002,47.175571,36812400
2019-05-09,47.900002,48.290001,46.049999,46.619999,44.665409,59642200
2019-05-10,46.439999,46.799999,45.099998,46.200001,44.263016,42522800
2019-05-13,45.330002,45.639999,44.700001,44.759998,42.883389,39091900
2019-05-14,45.180000,45.490002,44.869999,45.169998,43.276203,24706500
2019-05-15,44.919998,45.750000,44.759998,45.619999,43.707333,23407900
2019-05-16,45.470001,45.950001,45.419998,45.529999,43.621113,19954700
2019-05-17,45.180000,45.730000,44.759998,44.889999,43.007938,22500400
2019-05-20,44.000000,44.520000,43.450001,43.560001,41.733700,28675000
2019-05-21,44.340000,44.779999,44.180000,44.459999,42.595970,25543400
2019-05-22,44.150002,44.459999,43.849998,44.000000,42.155258,16932500
2019-05-23,43.369999,44.740002,42.860001,44.529999,42.663033,35783900
2019-05-24,44.590000,45.049999,44.490002,44.570000,42.701359,27168100
2019-05-28,44.660000,44.689999,43.299999,43.570000,41.743282,34779900
2019-05-29,43.349998,44.529999,43.330002,44.230000,42.375614,28450300
2019-05-30,44.299999,45.029999,44.230000,44.730000,42.854652,21618900
2019-05-31,44.180000,44.970001,43.930000,44.040001,42.193581,25532500
2019-06-03,44.250000,44.590000,43.200001,43.459999,41.637897,31155700
2019-06-04,44.160000,44.860001,43.770000,44.790001,42.912132,28094900
2019-06-05,45.110001,45.180000,44.189999,44.549999,42.682198,20802000
2019-06-06,44.750000,45.169998,44.509998,45.099998,43.209133,19076200
2019-06-07,45.250000,46.119999,45.099998,46.029999,44.100143,24370300
2019-06-10,46.230000,47.189999,46.200001,46.799999,44.837864,20806100
2019-06-11,47.259998,47.320000,46.520000,46.849998,44.885765,18415500
2019-06-12,46.669998,46.669998,46.250000,46.320000,44.377987,15900600
2019-06-13,46.599998,46.959999,46.529999,46.700001,44.742054,12267600
2019-06-14,45.830002,46.419998,45.549999,46.189999,44.253433,15381100
2019-06-17,46.139999,46.529999,45.799999,46.130001,44.195957,12643300
2019-06-18,46.750000,48.000000,46.599998,47.369999,45.383965,25732300
2019-06-19,47.480000,47.580002,47.000000,47.070000,45.096542,17436400
2019-06-20,47.869999,48.049999,46.869999,47.189999,45.211517,20126800
2019-06-21,46.950001,47.730000,46.799999,47.459999,45.470192,31096300
2019-06-24,47.400002,47.849998,47.169998,47.630001,45.633060,14479900
2019-06-25,47.560001,47.680000,46.799999,46.849998,44.885765,16665600
2019-06-26,47.650002,48.480000,47.560001,48.189999,46.169586,21886300
2019-06-27,48.150002,48.419998,47.240002,47.459999,45.470192,23062900
2019-06-28,47.770000,48.200001,47.680000,47.869999,45.862999,26646200
2019-07-01,49.290001,49.450001,47.750000,48.049999,46.035458,27423300
2019-07-02,47.910000,48.220001,47.689999,48.119999,46.102516,15381600
2019-07-03,48.180000,48.560001,48.000000,48.520000,46.485756,10739100
2019-07-05,48.029999,48.180000,47.439999,48.080002,46.064201,14339200
2019-07-08,47.619999,47.950001,47.070000,47.820000,45.815098,16564300
2019-07-09,47.360001,47.799999,47.130001,47.750000,45.748028,17853200
2019-07-10,47.919998,48.610001,47.900002,48.209999,46.188747,16032300
2019-07-11,48.560001,48.779999,48.310001,48.599998,46.562393,16615100
2019-07-12,49.000000,49.930000,48.810001,49.919998,47.827053,20148700
2019-07-15,50.000000,50.250000,49.770000,50.119999,48.018673,14345100
2019-07-16,49.910000,50.000000,48.959999,49.169998,47.108494,17131400
2019-07-17,49.500000,49.700001,49.240002,49.389999,47.319275,11928600
2019-07-18,49.279999,49.990002,48.889999,49.939999,47.846218,15671600
2019-07-19,49.959999,50.660000,49.910000,50.270000,48.162376,29141100
2019-07-22,50.009998,51.520000,49.889999,51.349998,49.197098,21688000
2019-07-23,52.000000,52.000000,51.299999,51.750000,49.580330,18413500
2019-07-24,51.980000,52.970001,51.799999,52.919998,50.701275,20896400
2019-07-25,52.509998,52.599998,51.880001,52.160000,49.973137,27765400
2019-07-26,52.689999,53.500000,51.529999,51.590000,49.427032,36401500
2019-07-29,51.529999,52.560001,50.779999,52.509998,50.308464,21897500
2019-07-30,51.709999,52.310001,51.560001,51.700001,49.532429,16487700
2019-07-31,51.509998,51.720001,50.049999,50.549999,48.430641,24169800
2019-08-01,50.520000,51.889999,49.470001,49.500000,47.424660,34020800
2019-08-02,49.090000,49.360001,48.500000,48.680000,46.639046,27881600
2019-08-05,47.759998,47.959999,46.570000,46.970001,45.000740,38936600
2019-08-06,47.150002,47.560001,46.770000,46.959999,45.294922,26119600
2019-08-07,46.299999,46.880001,45.970001,46.730000,45.073074,29440400
2019-08-08,46.160000,47.369999,45.910000,47.169998,45.497471,30643700
2019-08-09,46.939999,47.000000,45.779999,45.980000,44.349670,24975500
2019-08-12,45.759998,46.070000,45.439999,45.599998,43.983139,18494300
2019-08-13,45.490002,47.049999,45.360001,46.840000,45.179176,28959500
2019-08-14,46.060001,46.630001,45.650002,45.869999,44.243568,25650200
2019-08-15,46.099998,46.180000,45.439999,45.700001,44.079605,21896000
2019-08-16,46.340000,46.680000,46.060001,46.500000,44.851234,22701800
2019-08-19,47.459999,47.599998,47.040001,47.230000,45.555347,21403600
